iter	Passed	Remaining
0	0	715
1	1	659
2	1	582
3	2	532
4	2	509
5	3	511
6	3	534
7	4	554
8	5	569
9	5	575
10	6	586
11	7	601
12	8	631
13	8	618
14	9	604
15	9	589
16	9	575
17	10	566
18	10	566
19	11	556
20	11	547
21	12	538
22	12	531
23	12	524
24	13	518
25	13	512
26	14	507
27	14	501
28	14	496
29	15	491
30	15	485
31	15	481
32	16	476
33	16	472
34	17	469
35	17	466
36	17	463
37	18	460
38	18	457
39	18	454
40	21	500
41	22	513
42	23	524
43	24	531
44	25	537
45	26	541
46	26	537
47	26	533
48	27	529
49	27	526
50	28	523
51	28	520
52	28	516
53	29	513
54	29	510
55	30	506
56	30	504
57	30	502
58	31	500
59	31	498
60	32	496
61	32	494
62	33	493
63	33	491
64	34	491
65	34	490
66	35	488
67	35	487
68	35	485
69	36	484
70	36	483
71	37	482
72	37	481
73	38	480
74	38	479
75	39	479
76	39	477
77	40	476
78	40	474
79	41	472
80	41	470
81	41	468
82	42	464
83	42	463
84	42	461
85	43	460
86	43	458
87	44	456
88	44	455
89	44	453
90	45	451
91	45	450
92	46	448
93	46	447
94	46	445
95	47	444
96	48	447
97	48	446
98	48	445
99	49	443
100	49	442
101	50	441
102	50	440
103	51	439
104	51	438
105	51	438
106	52	437
107	53	441
108	53	440
109	54	439
110	54	438
111	55	437
112	55	436
113	56	435
114	56	434
115	56	432
116	57	430
117	57	429
118	57	428
119	58	427
120	58	425
121	58	424
122	59	422
123	59	421
124	60	420
125	60	419
126	60	417
127	61	416
128	61	415
129	61	414
130	62	412
131	62	411
132	62	410
133	63	409
134	63	408
135	64	407
136	64	407
137	65	406
138	65	405
139	65	404
140	66	403
141	66	401
142	66	400
143	67	399
144	67	398
145	68	397
146	68	397
147	68	396
148	69	396
149	69	395
150	70	394
151	70	393
152	70	392
153	71	391
154	71	391
155	72	390
156	72	389
157	72	388
158	73	387
159	73	386
160	73	385
161	74	384
162	74	383
163	74	382
164	75	381
165	75	380
166	76	379
167	76	378
168	76	377
169	77	377
170	77	376
171	77	375
172	78	374
173	78	373
174	79	372
175	79	372
176	79	371
177	80	370
178	80	369
179	80	368
180	81	368
181	81	368
182	82	367
183	82	367
184	83	366
185	83	365
186	83	365
187	84	364
188	84	363
189	85	363
190	85	362
191	86	362
192	86	361
193	86	360
194	87	359
195	87	358
196	87	358
197	88	357
198	88	356
199	89	356
200	89	355
201	89	354
202	90	354
203	90	353
204	91	353
205	91	352
206	91	351
207	92	351
208	92	350
209	92	349
210	93	348
211	93	348
212	94	347
213	94	346
214	94	346
215	95	345
216	95	344
217	95	344
218	96	343
219	96	342
220	97	342
221	97	341
222	97	341
223	98	340
224	98	340
225	99	339
226	99	338
227	99	338
228	100	337
229	100	337
230	101	336
231	101	336
232	101	335
233	102	334
234	102	333
235	102	333
236	103	332
237	103	331
238	104	331
239	104	330
240	104	329
241	105	329
242	105	328
243	105	328
244	106	327
245	106	326
246	107	326
247	107	325
248	107	325
249	108	324
250	108	323
251	108	323
252	109	322
253	109	322
254	110	321
255	110	320
256	110	320
257	111	319
258	111	319
259	112	320
260	113	319
261	113	319
262	113	318
263	114	318
264	114	317
265	115	317
266	115	316
267	115	316
268	116	317
269	117	316
270	117	316
271	118	315
272	118	315
273	118	314
274	119	314
275	119	313
276	119	312
277	120	312
278	120	311
279	121	311
280	121	310
281	121	310
282	122	309
283	122	308
284	122	308
285	123	307
286	123	307
287	123	306
288	124	306
289	124	305
290	125	304
291	125	304
292	125	303
293	126	303
294	126	302
295	127	302
296	127	301
297	127	301
298	128	300
299	128	300
300	129	299
301	129	299
302	129	299
303	130	298
304	130	298
305	131	297
306	131	296
307	131	296
308	132	295
309	132	295
310	133	295
311	133	294
312	133	293
313	134	293
314	134	292
315	135	292
316	135	291
317	135	291
318	136	290
319	136	290
320	136	289
321	137	289
322	137	288
323	138	288
324	138	287
325	138	287
326	139	286
327	139	286
328	140	285
329	140	285
330	140	284
331	141	284
332	141	283
333	141	283
334	142	282
335	142	282
336	143	281
337	143	281
338	144	281
339	144	280
340	145	280
341	145	280
342	146	279
343	146	279
344	146	278
345	147	278
346	147	277
347	147	277
348	148	276
349	148	276
350	148	275
351	149	274
352	149	274
353	150	273
354	150	273
355	150	272
356	151	272
357	151	271
358	151	271
359	152	270
360	152	270
361	153	269
362	153	269
363	153	268
364	154	268
365	154	267
366	155	267
367	155	267
368	155	266
369	156	266
370	156	265
371	157	265
372	157	264
373	157	264
374	158	263
375	158	263
376	159	262
377	159	262
378	159	261
379	160	261
380	160	261
381	161	260
382	161	260
383	161	259
384	162	259
385	162	258
386	163	258
387	163	257
388	163	257
389	164	256
390	164	256
391	164	255
392	165	255
393	165	254
394	166	254
395	166	253
396	166	253
397	167	252
398	167	252
399	167	251
400	168	251
401	168	250
402	168	250
403	169	249
404	169	249
405	170	248
406	170	248
407	170	247
408	171	247
409	171	246
410	171	246
411	172	245
412	172	245
413	173	245
414	173	244
415	173	244
416	174	243
417	174	243
418	175	243
419	176	243
420	176	243
421	177	242
422	177	242
423	177	241
424	178	241
425	178	240
426	178	240
427	179	239
428	179	239
429	180	239
430	180	238
431	181	238
432	181	237
433	181	237
434	182	236
435	182	236
436	183	235
